year,avgTemp,minTemp,maxTemp,rainFall,holiday,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,result
20180101,-1.3,-5.1,3.8,0,1.2,1,0,0,0,0,0,0,0,0,0,0,0,31558
20180102,-1.8,-4.3,1.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9717
20180103,-4.7,-7.1,-0.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14646
20180104,-4.7,-8.7,-0.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12412
20180105,-3,-5.6,1.6,0,1.1,1,0,0,0,0,0,0,0,0,0,0,0,13372
20180106,-2.8,-6.8,2.9,0,1.2,1,0,0,0,0,0,0,0,0,0,0,0,23759
20180107,-0.8,-5.7,2.8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,22232
20180108,1.3,-1.2,4,0.9,0,1,0,0,0,0,0,0,0,0,0,0,0,5228
20180109,-4.2,-6.1,-1.2,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,7504
20180110,-7.5,-10.3,-4.8,0.3,0,1,0,0,0,0,0,0,0,0,0,0,0,9481
20180111,-11.1,-13.6,-7.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8160
20180112,-10.2,-15.3,-5.4,0,1.1,1,0,0,0,0,0,0,0,0,0,0,0,7870
20180113,-4.4,-6.6,-1.2,0.4,1.2,1,0,0,0,0,0,0,0,0,0,0,0,19343
20180114,0.6,-4.4,5.4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,23825
20180115,4.7,1.8,7.7,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0,5656
20180116,3.5,0.1,6.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7442
20180117,4.5,2.4,8.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12671
20180118,2.1,0.3,4.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12614
20180119,1,-2.5,5.5,0,1.1,1,0,0,0,0,0,0,0,0,0,0,0,14874
20180120,2.2,-1,6.9,0,1.2,1,0,0,0,0,0,0,0,0,0,0,0,28186
20180121,0.4,-3.7,5.5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,26918
20180122,0.2,-5.3,4,3.3,0,1,0,0,0,0,0,0,0,0,0,0,0,5586
20180123,-11.7,-14.6,-5.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5271
20180124,-14.2,-16.3,-10.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6069
20180125,-14,-16.4,-9.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7999
20180126,-14.8,-17.8,-10.7,0,1.1,1,0,0,0,0,0,0,0,0,0,0,0,6908
20180127,-9.9,-15.9,-3.5,0,1.2,1,0,0,0,0,0,0,0,0,0,0,0,15658
20180128,-6.3,-9.3,-1.2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,17145
20180129,-8.5,-11.6,-4.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5117
20180130,-5.3,-11.4,-0.8,2.9,0,1,0,0,0,0,0,0,0,0,0,0,0,7214
20180131,-2.6,-5.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20415
20180201,-4,-8.8,1.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11345
20180202,-2.4,-7.6,3.8,0,1.1,0,1,0,0,0,0,0,0,0,0,0,0,12154
20180203,-7.3,-10.4,-2.1,0.5,1.2,0,1,0,0,0,0,0,0,0,0,0,0,17011
20180204,-9.5,-12.8,-5.2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,14165
20180205,-9.4,-11.8,-5.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4296
20180206,-10.1,-12.8,-5.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5615
20180207,-8,-13.4,-1.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9842
20180208,-4.4,-9.7,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13462
